Object Designation,Date (yyyy-mm-dd.dd),Impact Probability,Impact Energy (Mt),Palermo Scale,Torino Scale,Number,Mass (kg),Diameter (km),Absolute magnitude (H)
101955 Bennu (1999 RQ36),2185-09-24.46,0.0000003,1421,-4.69,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2188-09-24.26,0.0000003,1420,-4.7,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2198-09-24.70,0.0000003,1422,-4.72,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2201-09-25.41,0.0000003,1422,-4.73,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2204-09-25.16,0.0000003,1421,-4.74,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2204-09-25.16,0.0000003,1420,-4.74,,a0101955,74000000000,0.49,20.6
(2007 FT3),2041-10-03.23,0.000000018,2604,-4.74,0,bK07F03T,54000000000,0.341,20
101955 Bennu (1999 RQ36),2210-09-25.75,0.0000003,1421,-4.75,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2210-09-25.69,0.0000003,1421,-4.75,,a0101955,74000000000,0.49,20.6
(2022 KM4),2075-01-13.93,0.000000088,1256,-4.76,0,bK22K04M,14000000000,0.22,21
(2011 XC2),2056-12-02.41,0.00000068,54.32,-4.78,0,bK11X02C,820000000,0.085,23
(2024 HJ),2099-04-24.77,0.0000001,1512,-4.8,0,bK24H00J,13000000000,0.21,21
(2000 WJ107),2119-11-20.24,0.0000035,23.95,-4.81,0,bK00WA7J,700000000,0.081,23.1
(2007 FT3),2058-10-03.48,0.000000029,2572,-4.83,0,bK07F03T,54000000000,0.341,20
(2007 TC14),2082-10-22.42,0.0000003,252.3,-4.85,0,bK07T14C,2700000000,0.13,22.1
(2020 TY4),2099-09-17.77,0.000009,4.871,-4.85,0,bK20T04Y,210000000,0.054,24
(2007 FT3),2046-10-03.56,0.000000018,2698,-4.85,0,bK07F03T,54000000000,0.341,20
101955 Bennu (1999 RQ36),2181-09-24.52,0.0000002,1421,-4.85,,a0101955,74000000000,0.49,20.6
(2002 GM5),2064-10-03.42,0.00000012,505.3,-4.86,0,bK02G05M,7800000000,0.18,21.4
101955 Bennu (1999 RQ36),2185-09-24.49,0.0000002,1420,-4.86,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2185-09-24.45,0.0000002,1420,-4.86,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2184-09-24.22,0.0000002,1422,-4.86,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2184-09-24.19,0.0000002,1422,-4.86,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2189-09-24.57,0.0000002,1422,-4.87,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2189-09-24.48,0.0000002,1422,-4.87,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2187-09-24.99,0.0000002,1422,-4.87,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2193-09-24.51,0.0000002,1420,-4.88,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2191-09-24.83,0.0000002,1420,-4.88,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2190-09-24.74,0.0000002,1422,-4.88,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2190-09-24.70,0.0000002,1422,-4.88,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2190-09-24.64,0.0000002,1421,-4.88,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2197-09-24.44,0.0000002,1422,-4.89,,a0101955,74000000000,0.49,20.6
